	54270
0	3880
00	740
000	10
002first	10
00p	600
00p0p	20
00p0rxxsxs	10
02	250
025	10
02xs	10
03	10
03dd	10
04	20
0406	10
0dd	10
0in	10
0p	880
0pand	10
0petite	50
0r	20
0regular	10
0s	10
0verall	10
0xs	40
1	1830
10	4880
100	1450
1000	10
10000	10
1000000	10
100105	10
100105lbs	10
100lb	10
100lbs	140
100s	10
101	10
1010	20
1012	890
1014	10
1015	40
102	110
102lbs	60
103	120
10311	10
103lb	10
103lbs	40
104	90
104lbs	10
105	510
105lb	10
105lbs	80
105lbs32c	10
106	100
106108	10
106lbs	20
107	150
107lb	30
107lbs	70
107pound	10
108	230
108113	10
108lbs	30
109	20
109111	10
109lbs	60
10kept	10
10l	10
10lbs	30
10m	40
10m34c	10
10mths	10
10p	90
10s	30
10th	20
10the	10
10which	10
10x	10
10yr	10
11	140
110	920
110112	10
110115	10
110115lbs	10
110lb	30
110lbs	270
111	30
111lbs	20
112	210
112115lbs	10
112lb	10
112lbs	40
112lbsshirt	10
112lbswith	10
112llbs	10
113	100
113lbs	50
114	110
114lb	10
114lbs	20
115	2440
115120	10
115ish	20
115lb	10
115lbs	440
115lbsordered	10
115llbs	10
116	140
116118	10
116bs	10
116ibs	10
116lb	20
116lbs	30
117	370
117bl	10
117lbs	70
118	630
118120	20
118lb	20
118lbs	80
119	110
11and	10
11in	10
11inches	20
11year	10
12	3850
120	2090
12000	10
120123lbs	10
120123lbssize	10
120125	10
120it	10
120lb	110
120lbs	580
121	30
1214	410
1214p	10
122	240
12215	10
12272015	10
122lbs	20
123	170
123lb	10
123lbs	120
124	120
124lb	10
124lbs	40
125	1690
125128	10
125130	40
125130lbs	20
125as	10
125b	10
125i	10
125ibs	10
125ish	10
125lb	70
125lbs	420
126	170
126lbs	10
127	180
127lb	30
127lbs	70
127s	10
128	420
128130	10
128b	10
128found	10
128lb	30
128lbs	190
129	30
1295	10
129lbs	30
12fits	10
12l	10
12mediumlarge	10
12p	80
12th	10
13	40
130	1640
130135	10
130135lbs	20
130b	10
130ibs	10
130l	10
130lb	100
130lbs	490
130lbs34c56	10
130pounds	10
130typically	10
132	150
132lbs	20
133	70
133lbs	20
134	140
134b	10
134lb	10
134lbs	20
135	1870
135140	10
135140lb	10
135140lbs	10
13540	10
135athletic	10
135lb	50
135lbs	740
136	110
136lb	10
136lbs	20
136s	10
137	70
1375	10
137lbs	10
138	340
138140	20
138lbs	80
139	20
13going	10
13rd	10
13th	10
14	1040
140	1760
140150	10
140b	30
140ish	20
140lb	60
140lbs	380
140lbsathletic	10
141	10
1416	140
1416xls	10
142	140
142lbs	30
143	40
143lbs	10
144	50
144lb	30
144lbs	10
145	990
145150	20
145lb	50
145lbs	310
146	40
146lbs	30
147	40
148	50
14800	10
148lbs	20
149	10
149lbs	10
14large	10
14p	10
14s	10
14xl33	10
15	440
150	690
150155lbs	10
150lb	40
150lbs	150
152	20
1520	20
153	10
154	20
154lbs	10
155	300
155lb	20
155lbs	110
156	20
157	10
158	50
16	580
160	330
160lb	80
160lbs	100
1618	10
1636h	10
165	100
165lb	10
165lbs	30
167	10
168	30
16never	10
16s	20
16xl	10
16xl36h	10
17	30
170	200
170lbs	60
172lbs	10
174	10
175	60
175lbs	30
178	10
18	150
180	50
180lb	10
180lbs	10
183lbs	10
185	50
18monthold	10
18th	10
19	40
190	10
190lbs	10
1920s	50
19301940s	10
1940s	30
1950s	20
1950sinspired	10
195lbs	10
1960s	40
1970s	40
1973	10
198	10
1980s	30
1982	10
1987	20
1988	10
1990	10
1990s	20
1993	10
1995	10
1999	10
1perfect	10
1season	10
1st	110
1the	10
1this	10
1x	20
2	10810
20	970
200	150
2000	10
20000	20
2000s	10
2001	10
2004	10
2005	10
20062010	10
2007	10
2008	20
2010	10
2012	10
2013	10
2015	60
2016	30
201617	10
2017	10
2030	20
2035	10
20lb	10
20lbs	20
20off	20
20s	70
20s30s	10
20something	10
20th	20
20x	10
21	50
2100	10
212	10
218	10
22	60
220lbs	10
226	20
228	20
23	210
230lbs	10
23b	10
23rds	10
23x	10
24	1030
2400	10
2425	40
2426	10
245	30
246	10
24p	80
24p00pxxs	10
24s	30
24th	10
25	1520
250	40
2514	10
2526	170
253	10
25p	190
25petite	10
25s	20
25th	10
26	2170
262	10
2625	10
2627	140
2635	10
2636	10
265	580
26527	10
265in	20
26inch	10
26p	90
26petite	10
26r	10
26s	50
26tall	10
27	1990
2728	110
2729	20
2735	10
2735116lbs	10
2738	10
274	50
27528	10
27in	10
27inches	10
27p	90
27r	20
27s	80
27tall	10
28	1950
2829	130
2838	30
2839	20
285	10
286	10
28dd	10
28dd30d32c	20
28dddd30ddd	10
28l	10
28p	50
28r	10
28s	110
28t	10
28theyre	10
29	1060
2912	10
2930	60
2930in	10
295	10
296	10
2995	10
2999	10
29p	20
29s	70
29size	10
29the	10
2fit	10
2in	20
2inch	10
2inches	10
2nd	240
2ndtrimesterpregnancyblouse	10
2p	570
2petite	20
2r	30
2regular	10
2s	40
2small	10
2tone	20
2x	30
2xs	40
2yearold	10
3	3270
30	1560
300	30
30000	20
3000s	10
3031	30
3034	10
3040	30
305	10
3050	10
305it	10
308	10
30aa	10
30b	10
30d	80
30d32c	20
30dd	560
30e	30
30f	30
30g	10
30gg	10
30inch	10
30lbs	10
30p	30
30percent	10
30s	150
30s40s	10
30something	10
30ss	10
30th	20
31	510
312	10
312434and	10
3132	10
315	30
31p	30
31s	30
31size	10
31st	10
32	810
322436	10
3224432	10
3224532	20
32245325	10
322635	20
322636	10
3234	20
3234a	10
3234ddd	10
3240	30
325	20
32a	210
32ab	10
32b	480
32b2435	10
32b2636	10
32band	10
32c	580
32c2434	10
32c2435	10
32c2633	10
32c2736	10
32cd	20
32csame	10
32d	560
32d109lbs	10
32d2636	10
32d3138	30
32dd	730
32ddd	120
32ds	30
32dâ â i	10
32e	30
32f	70
32g	90
32h	50
32nd	10
32p	10
32s	10
33	340
332533	20
332537	150
3325375	10
332537ish	60
332635	10
3334	20
335	20
33a	10
33b2636	10
33d	10
33s	10
33yearold	10
34	2310
342535	10
342636	20
342637	10
342638	20
342735	20
342737	10
342738	10
342835	10
342836	10
34293839	10
3435a2836	30
3436	20
345	20
34a	560
34a2735	10
34a2826	20
34a282936	20
34a2836	20
34aa	130
34ab	10
34ausually	10
34b	1890
34b27	10
34b2837	10
34b2938	10
34b32c	10
34b34c	10
34bc	50
34bso	10
34c	1690
34c2636	10
34c2838	20
34c6	10
34cd	40
34cordered	10
34d	1390
34d2735	150
34dd	790
34dd2742	20
34dd2843	10
34ddd	310
34dddd	20
34ds	10
34e3040	10
34f	210
34ff	10
34g	140
34gs	10
34length	10
35	300
352635	10
352936	30
352937	30
353037	10
3536	30
355	10
35ab	20
35bc	10
35c	20
35in	10
35x27x36	10
35x28x39	10
36	800
361736	20
362635	10
362636	10
362639	10
362735	10
362736	10
362738	10
362739	10
362839	10
362940	10
363040	10
3637	10
3638	30
3638c	20
365	10
368	10
36a	90
36aa	20
36b	370
36bc	10
36bthe	10
36c	1090
36c125lbs	10
36c3237	20
36c382735135	10
36c38d	10
36cd	20
36d	910
36d3240	10
36dd	810
36ddd	210
36dddd	10
36dds	30
36ds	10
36e	20
36g	60
36h	10
36j	10
37	60
3725	10
372840	10
372939	30
3732ddd	10
3738	20
3738ish	10
38	400
382638	30
382735	50
38273536c135	10
382738	10
382835	90
383038	40
383040	210
383240	100
3839ish	10
385	20
38b	30
38c	150
38d	40
38dd	40
38dds	10
38f	10
38hips	10
38in	20
38inch	10
39	130
392835	80
39fit39	10
39fuzzy39	10
3c	10
3d	20
3dd	10
3heels	10
3hr	10
3in	20
3inches	10
3quarter	10
3rd	110
3season	20
3seasons	10
3the	10
3was	10
3x	50
3xl	10
3xs	10
3xxxl	10
4	9990
40	730
400	10
402941	10
4041	20
405	10
4050s	10
40d	30
40dd	10
40discount	10
40s	130
40something	10
40th	20
40yo	10
40yr	10
41	50
410	30
411	110
4115	20
42	100
427	30
428	20
42dd	10
43	20
433143	20
434c	10
44	210
448	10
44s	10
45	200
4500	10
45000	10
46	920
468	10
46p	10
47	20
48	70
49	40
4999	10
4am	10
4baby	10
4d	10
4fits	10
4ft	40
4in	20
4inch	10
4inches	10
4ish	10
4l	10
4p	410
4perhaps	10
4petite	10
4r	50
4s	40
4small	40
4star	10
4th	140
4they	10
4yrs	10
5	6500
50	850
500	20
501	10
503	10
5050	10
50s	170
50s60s	20
50slow	10
50something	10
50th	20
51	2590
510	1630
511	520
51130	10
5130lbs	10
5132b	10
5140lbs	10
515	290
52	4620
52103lbs	20
52105	10
5234c	10
525	20
5253	10
52even	10
52m	10
53	5210
53108	30
53117	10
53122lb	10
53130	10
53135lbs34b	10
5336b108	20
535	20
5391quot	20
5392	10
5393	10
5393quot	10
5394	10
53945quot	10
5395quot	10
5396	10
5398	10
5398quot	20
53ish	40
54	6740
54110lbs32c	20
5411532dd	10
54118lb	10
54124	10
54130lb	10
5434	10
545	30
54b	10
55	4830
55125	10
55130lbs	20
5534c	10
5534dd	10
555	20
5560	10
55and	10
55narrow	10
55there	10
55yearold	10
56	4060
5612	10
56130	10
56170180	10
565	30
56and	10
56ish	10
56yearold	10
57	4300
57120	10
57125	10
57125lbs	10
57127lbs	10
575	10
57and	10
57got	10
57similar	10
58	3530
58125lbs34b	10
58135	10
585	10
5859	10
58and	10
58slender	10
58tall	10
59	2630
59132	10
59136	10
59145	10
595	40
59and	10
5amp393	10
5amp396ampquot	10
5amp399ampquot	10
5ampampamp395ampampampquot	10
5ampampampamp398ampampampampquot	10
5ft	300
5ft2in	100
5ft3	10
5ft3in	10
5ft4	10
5ft7	10
5ft8inches	10
5lbs	20
5mo	10
5months	10
5s	10
5star	20
5stars	20
5th	20
6	9720
60	240
60s	210
60s70s	10
60th	20
61	10
62	50
628	20
63	10
63t39c28w35h30i	10
64	10
65	40
66	30
67	30
68	700
68m	10
68medium	10
69s	10
6am	10
6amp39	10
6and	10
6both	10
6but	10
6ft	140
6i	10
6in	10
6inches	10
6m	20
6m34b	10
6medium	30
6medium28	10
6p	380
6petite	20
6r	10
6s	20
6t	10
6th	20
6this	10
7	420
70	60
70s	380
70sish	10
70sontheslopes	10
70svintage	10
73	10
75	50
78	70
79	10
7in	10
7months	10
7s	10
8	6740
80	80
800	20
80f	10
80s	150
80sstyle	10
810	810
810and	10
810i	10
810m	10
810medium	10
810p	10
829	10
83	10
8300	10
84	10
85	100
86	10
88	40
8800	10
8999	10
8athletic	10
8but	10
8fitted10relaxed	10
8i	10
8in	30
8it	10
8italian	10
8m	20
8maybe	10
8medium	70
8p	240
8petite	10
8s	50
8us	10
8yo	10
9	410
90	270
9095lbs	10
90s	80
910	30
912	10
92	10
925	10
92lbs	10
95	140
9510	10
95lb	20
95lbs	40
96	20
96100	10
97	40
98	110
9800	10
98lbs	10
99	210
9between	10
9inches	10
9lower	10
a	427980
a0	10
a32	10
a34b	10
a9dn	10
aa	30
aaaaaaamazing	10
aaaaandidontwanttopayforshipping	10
aaaaannnnnnd	10
aaaahmazing	10
aaaahs	10
aaahed	10
aame	10
ab	60
abbey	20
abby	30
abck	10
abdomen	70
abdominal	10
abercrombie	10
abhor	10
ability	110
abject	10
able	4230
abnormal	10
abnormally	20
abo	30
abolutely	10
abou	20
about	19630
above	5380
abovetheknee	30
abovetheshoulders	10
abroad	20
abruptly	10
abs	20
absence	10
abso	10
absolute	310
absolutely	8100
absolutley	30
absolutly	20
absoluty	10
absorbent	10
abstract	60
absurd	40
absurdly	10
abt	170
abundance	50
abundant	10
abused	10
abut	10
ac	100
acacia	10
accent	310
accented	50
accenting	20
accents	280
accentuate	360
accentuatea	10
accentuated	240
accentuates	420
accentuating	80
accept	30
acceptabl	10
acceptable	160
acceptably	10
accepted	20
accepts	10
access	60
accesso	10
accessories	570
accessorize	180
accessorized	50
accessorizes	10
accessorizing	30
accessory	100
accident	80
accidental	40
accidentally	180
accidents	10
acco	10
accomadate	10
accommodate	420
accommodated	20
accommodates	80
accommodating	30
accomodate	40
accompanies	10
accompany	10
accompanying	20
accomplish	20
accomplishing	10
accomplishment	10
accord	10
accordance	10
accordian	20
according	270
accordingly	30
accordinglythis	10
accordion	10
account	60
accounts	10
accumulate	10
accuracy	10
accurate	590
accuratei	10
accurately	230
ace	10
acetate	20
achieve	160
achieved	10
achieveit	10
acid	10
ack	10
acknowledge	10
acomfortable	10
acquaintance	10
acquiring	10
acquisition	10
across	3380
acrossed	10
acrylic	190
acrylicfeeling	10
acrylicnylonwool	10
acrylicwool	10
act	100
action	30
active	130
actively	10
activewear	40
activities	60
activity	10
acts	30
actual	670
actuality	50
actuallly	10
actually	6840
actualyl	10
acup	20
acutually	10
ad	90
ada	40
add	3390
added	1720
addict	20
addicted	50
addiction	10
adding	590
addit	10
additio	10
addition	2060
additional	540
additionally	160
additonal	10
addon	20
address	40
addressed	10
adds	2510
addtl	10
aded	10
adequate	110
adequately	50
adhesive	10
adieu	10
adirondacks	10
adj	10
adjacent	10
adjsut	10
adjust	490
adjustability	10
adjustable	840
adjustableand	10
adjustableit	10
adjusted	160
adjustedthen	10
adjusting	170
adjustingpulling	10
adjustment	90
adjustments	40
adjusts	10
admirable	10
admiration	10
admire	50
admired	50
admirin	10
admiring	50
admit	240
admittedly	90
adn	230
adopted	10
ador	30
adorable	5500
adorableso	10
adorably	10
adore	1240
adoreable	10
adored	110
adores	10
adoreworthy	10
adoring	10
adorn	10
ads	20
adult	50
adults	20
advantage	120
advantages	20
adventure	20
adventurous	10
advertise	10
advertised	180
advertisement	10
advertising	10
advice	400
advise	80
advised	90
